all saints church	all saints church	1.0
funky fun house	funky fun house	1.0
christ's college	christ 's college	1.0
the man on the moon	the man on the moon	1.0
milton country park	milton country park	1.0
wandlebury country park	wandlebury country park	1.0
king's college	king 's college	1.0
lynne strover gallery	lynne strover gallery	1.0
saint john's college	saint john 's college	1.0
broughton house gallery	broughton house gallery	1.0
old schools	old schools	1.0
museum of classical archaeology	museum of classical archaeology	1.0
adc theatre	adc theatre	1.0
emmanuel college	emmanuel college	1.0
byard art	byard art	1.0
soul tree nightclub	soul tree nightclub	1.0
club salsa	club salsa	1.0
cherry hinton hall and grounds	cherry hinton hall and grounds	1.0
museum of archaelogy and anthropology	museum of archaelogy and anthropology	1.0
castle galleries	castle galleries	1.0
nusha	nusha	1.0
regency gallery	regency gallery	1.0
whipple museum of the history of science	whipple museum of the history of science	1.0
churchill college	churchill college	1.0
holy trinity church	holy trinity church	1.0
cambridge artworks	cambridge artworks	1.0
cambridge arts theatre	cambridge arts theatre	1.0
scott polar museum	scott polar museum	1.0
scudamores punting co	scudamores punting co	1.0
clare college	clare college	1.0
saint barnabas press gallery	saint barnabas press gallery	1.0
cambridge and county folk museum	cambridge and county folk museum	1.0
kettle's yard	kettle 's yard	1.0
no specific location	no specific location	1.0
whale of a time	whale of a time	1.0
vue cinema	vue cinema	1.0
cambridge book and print gallery	cambridge book and print gallery	1.0
ballare	ballare	1.0
cafe jello gallery	cafe jello gallery	1.0
riverboat georgina	riverboat georgina	1.0
the fitzwilliam museum	the fitzwilliam museum	1.0
sidney sussex college	sidney sussex college	1.0
saint catharine's college	saint catharine 's college	1.0
great saint mary's church	great saint mary 's church	1.0
cherry hinton water play	cherry hinton water play	1.0
primavera	primavera	1.0
cineworld cinema	cineworld cinema	1.0
magdalene college	magdalene college	1.0
kambar	kambar	1.0
parkside pools	parkside pools	1.0
the fez club	the fez club	1.0
cambridge university botanic gardens	cambridge university botanic gardens	1.0
cambridge museum of technology	cambridge museum of technology	1.0
downing college	downing college	1.0
clare hall	clare hall	1.0
cafe jello	cafe jello	1.0
little saint mary's church	little saint mary 's church	1.0
people's portraits exhibition at girton college	people 's portraits exhibition at girton college	1.0
abbey pool and astroturf pitch	abbey pool and astroturf pitch	1.0
corpus christi	corpus christi	1.0
tenpin	tenpin	1.0
the cambridge punter	the cambridge punter	1.0
queens' college	queens' college	1.0
fez club	fez club	1.0
mumford theatre	mumford theatre	1.0
the cherry hinton village centre	the cherry hinton village centre	1.0
jesus green outdoor pool	jesus green outdoor pool	1.0
trinity college	trinity college	1.0
gonville and caius college	gonville and caius college	1.0
camboats	camboats	1.0
cambridge	cambridge	1.0
williams art and antiques	williams art and antiques	1.0
kings hedges learner pool	kings hedges learner pool	1.0
cambridge contemporary art	cambridge contemporary art	1.0
the cambridge corn exchange	the cambridge corn exchange	1.0
the place	the place	1.0
ruskin gallery	ruskin gallery	1.0
sheep's green and lammas land park fen causeway	sheep 's green and lammas land park fen causeway	1.0
gallery at twelve a high street	gallery at twelve a high street	1.0
carol	carol	1.0
swimming pool	swimming pool	1.0
kirkwood	kirkwood	1.0
pembroke college	pembroke college	1.0
univ	univ	1.0
the junction	the junction	1.0
jesus college	jesus college	1.0
fitzwilliam museum	fitzwilliam museum	1.0
college	college	1.0
pizz	pizz	1.0
worth house	worth house	1.0
free	free	1.0
aut	aut	1.0
man on the moon	man on the moon	1.0
all saint's church	all saint 's church	1.0
hughes hall	hughes hall	1.0
city	city	1.0
christ college	christ college	1.0
north	north	1.0
autu	autu	1.0
garde	garde	1.0
caffe uno	caffe uno	1.0
cambridge belf	cambridge belf	1.0
old school	old school	1.0
museum	museum	1.0
love	love	1.0
cambridge corn exchange	cambridge corn exchange	1.0
college in the north	college in the north	1.0
boating	boating	1.0
older churches	older churches	1.0
cambridge punter	cambridge punter	1.0
queen's college	queen 's college	1.0
architectural churches	architectural churches	1.0
saint john's college.	saint john 's college.	1.0
parkside	parkside	1.0
thanh	thanh	1.0
the mumford theatre	the mumford theatre	1.0
fitzbillies	fitzbillies	1.0
home from home	home from home	1.0
cambridge temporary art	cambridge temporary art	1.0
centre	centre	1.0
fitzwilliam	fitzwilliam	1.0
pizza	pizza	1.0
scott polar	scott polar	1.0
da vinci pizzeria	da vinci pizzeria	1.0
broughton	broughton	1.0
contemporary art museum	contemporary art museum	1.0
belf	belf	1.0
school	school	1.0
corn cambridge exchange	corn cambridge exchange	1.0
bangkok city	bangkok city	1.0
bed	bed	1.0
