cambridge	cambridge	1.0
birmingham new street	birmingham new street	1.0
ely	ely	1.0
norwich	norwich	1.0
bishops stortford	bishops stortford	1.0
peterborough	peterborough	1.0
stevenage	stevenage	1.0
broxbourne	broxbourne	1.0
london liverpool street	london liverpool street	1.0
leicester	leicester	1.0
stansted airport	stansted airport	1.0
kings lynn	kings lynn	1.0
london kings cross	london kings cross	1.0
birmingham	birmingham	1.0
saint johns	saint johns	1.0
wandlebury country park	wandlebury country park	1.0
liecester	liecester	1.0
panahar	panahar	1.0
cineworld	cineworld	1.0
stansted	stansted	1.0
el shaddai	el shaddai	1.0
cafe uno	cafe uno	1.0
leicaster	leicaster	1.0
city hall	city hall	1.0
rosa's bed and breakfast	rosa 's bed and breakfast	1.0
norwhich	norwhich	1.0
brookshite	brookshite	1.0
aylesbray lodge guest	aylesbray lodge guest	1.0
london	london	1.0
hamilton lodge	hamilton lodge	1.0
duxford	duxford	1.0
camboats	camboats	1.0
